map,agents,completion,collisions,steps,variant
25_10_5_10_5_2,55,0.9636363636363636,0,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,2,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,1,307,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9454545454545454,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9454545454545454,3,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.8909090909090909,2,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9454545454545454,2,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9272727272727272,2,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,0,381,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.8545454545454545,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,1,74,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,1,313,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,0,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,1,333,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9272727272727272,2,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9454545454545454,0,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,0,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,4,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,1,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9454545454545454,0,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9818181818181818,0,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,1.0,0,62,GREEDY gradient (no network)
25_10_5_10_5_2,55,1.0,0,83,braking bug restored
25_10_5_10_5_2,55,0.9636363636363636,0,780,braking bug restored
25_10_5_10_5_2,55,0.9636363636363636,1,780,braking bug restored
25_10_5_10_5_2,55,0.9818181818181818,1,780,braking bug restored
25_10_5_10_5_2,55,0.9818181818181818,0,780,braking bug restored
25_10_5_10_5_2,55,0.9090909090909091,3,780,braking bug restored
25_10_5_10_5_2,55,0.8363636363636363,4,780,braking bug restored
25_10_5_10_5_2,55,0.9636363636363636,0,780,braking bug restored
25_10_5_10_5_2,55,0.8909090909090909,9,780,braking bug restored
25_10_5_10_5_2,55,0.8363636363636363,5,780,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,braking bug restored
25_10_5_10_5_2,55,0.8181818181818182,2,780,braking bug restored
25_10_5_10_5_2,55,0.9272727272727272,2,780,braking bug restored
25_10_5_10_5_2,55,0.9090909090909091,1,780,braking bug restored
25_10_5_10_5_2,55,0.8909090909090909,3,780,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,1,780,braking bug restored
25_10_5_10_5_2,55,0.9272727272727272,1,780,braking bug restored
25_10_5_10_5_2,55,0.9272727272727272,0,780,braking bug restored
25_10_5_10_5_2,55,0.9272727272727272,5,780,braking bug restored
25_10_5_10_5_2,55,0.9272727272727272,1,780,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,2,780,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,braking bug restored
25_10_5_10_5_2,55,0.9818181818181818,0,239,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,braking bug restored
25_10_5_10_5_2,55,0.9272727272727272,1,780,braking bug restored
25_10_5_10_5_2,55,0.8363636363636363,2,780,braking bug restored
25_10_5_10_5_2,55,0.8181818181818182,5,780,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,braking bug restored
25_10_5_10_5_2,55,0.9818181818181818,0,780,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,1,780,braking bug restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9636363636363636,1,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9636363636363636,3,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9272727272727272,4,780,hardcoded bounds restored
25_10_5_10_5_2,55,1.0,0,80,hardcoded bounds restored
25_10_5_10_5_2,55,0.9818181818181818,7,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.8909090909090909,4,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.8909090909090909,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9272727272727272,3,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.8545454545454545,2,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9090909090909091,3,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9272727272727272,4,780,hardcoded bounds restored
25_10_5_10_5_2,55,1.0,0,110,hardcoded bounds restored
25_10_5_10_5_2,55,0.9636363636363636,1,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9272727272727272,2,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,1.0,0,135,hardcoded bounds restored
25_10_5_10_5_2,55,1.0,2,128,hardcoded bounds restored
25_10_5_10_5_2,55,0.9272727272727272,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9818181818181818,1,233,hardcoded bounds restored
25_10_5_10_5_2,55,0.9818181818181818,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.8909090909090909,1,780,hardcoded bounds restored
25_10_5_10_5_2,55,1.0,0,110,hardcoded bounds restored
25_10_5_10_5_2,55,0.9636363636363636,2,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9636363636363636,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9636363636363636,0,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9272727272727272,1,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9454545454545454,1,780,hardcoded bounds restored
25_10_5_10_5_2,55,0.9272727272727272,0,780,both bugs restored
25_10_5_10_5_2,55,0.9818181818181818,0,215,both bugs restored
25_10_5_10_5_2,55,0.9272727272727272,3,780,both bugs restored
25_10_5_10_5_2,55,0.9272727272727272,3,780,both bugs restored
25_10_5_10_5_2,55,0.9636363636363636,2,780,both bugs restored
25_10_5_10_5_2,55,0.9454545454545454,5,780,both bugs restored
25_10_5_10_5_2,55,0.8363636363636363,9,780,both bugs restored
25_10_5_10_5_2,55,0.8909090909090909,0,780,both bugs restored
25_10_5_10_5_2,55,0.9272727272727272,6,780,both bugs restored
25_10_5_10_5_2,55,0.8545454545454545,6,780,both bugs restored
25_10_5_10_5_2,55,1.0,0,433,both bugs restored
25_10_5_10_5_2,55,0.8727272727272727,1,780,both bugs restored
25_10_5_10_5_2,55,0.9818181818181818,2,272,both bugs restored
25_10_5_10_5_2,55,0.9272727272727272,0,780,both bugs restored
25_10_5_10_5_2,55,0.9636363636363636,0,780,both bugs restored
25_10_5_10_5_2,55,0.9636363636363636,2,780,both bugs restored
25_10_5_10_5_2,55,0.9454545454545454,0,780,both bugs restored
25_10_5_10_5_2,55,0.9454545454545454,1,780,both bugs restored
25_10_5_10_5_2,55,0.9454545454545454,1,780,both bugs restored
25_10_5_10_5_2,55,0.9272727272727272,2,780,both bugs restored
25_10_5_10_5_2,55,0.9636363636363636,1,780,both bugs restored
25_10_5_10_5_2,55,0.9454545454545454,1,780,both bugs restored
25_10_5_10_5_2,55,0.9818181818181818,0,780,both bugs restored
25_10_5_10_5_2,55,0.9818181818181818,3,382,both bugs restored
25_10_5_10_5_2,55,0.9636363636363636,0,780,both bugs restored
25_10_5_10_5_2,55,0.9818181818181818,0,780,both bugs restored
25_10_5_10_5_2,55,0.8909090909090909,2,780,both bugs restored
25_10_5_10_5_2,55,0.9454545454545454,2,780,both bugs restored
25_10_5_10_5_2,55,0.9636363636363636,1,780,both bugs restored
25_10_5_10_5_2,55,0.9818181818181818,0,293,both bugs restored
